CowTagID,Predictor_measurement,Predictor_value
18,mean_Ammonia_umolL,0.33
18,range_Ammonia_umolL,0.27999999999999997
18,cv_Ammonia_umolL,0.3481553119113956
18,min_NN_umolL,0.31
18,max_NN_umolL,1.09
18,mean_NN_umolL,0.595
18,range_NN_umolL,0.78
18,cv_NN_umolL,0.5733203156666398
18,min_Phosphate_umolL,0.21
18,max_Phosphate_umolL,0.31
18,mean_Phosphate_umolL,0.24
18,range_Phosphate_umolL,0.1
18,cv_Phosphate_umolL,0.19543398999264291
18,min_Salinity,36.49
18,max_Salinity,36.91
18,mean_Salinity,36.7875
18,range_Salinity,0.4199999999999946
18,cv_Salinity,0.005420181257841222
18,min_Silicate_umolL,0.88
18,max_Silicate_umolL,7.67
18,mean_Silicate_umolL,2.79
18,range_Silicate_umolL,6.79
18,cv_Silicate_umolL,1.168301181915863
18,min_pH,8.028567593
18,max_pH,8.068123549
18,mean_pH,8.046225039
18,range_pH,0.03955595599999917
18,cv_pH,0.0020544583465334095
19,min_Ammonia_umolL,0.14
19,max_Ammonia_umolL,0.44
19,mean_Ammonia_umolL,0.2675
19,range_Ammonia_umolL,0.3
19,cv_Ammonia_umolL,0.5505828438658037
19,min_NN_umolL,0.23
19,max_NN_umolL,0.47
19,mean_NN_umolL,0.3525
19,range_NN_umolL,0.23999999999999996
19,cv_NN_umolL,0.28404233183689054
19,min_Phosphate_umolL,0.19
19,max_Phosphate_umolL,0.22
19,mean_Phosphate_umolL,0.20750000000000002
19,range_Phosphate_umolL,0.03
19,cv_Phosphate_umolL,0.07228915662650601
19,min_Salinity,36.82
19,max_Salinity,36.91
19,mean_Salinity,36.8525
19,range_Salinity,0.0899999999999963
19,cv_Salinity,0.001093854928200023
19,min_Silicate_umolL,0.7
19,max_Silicate_umolL,1.29
19,mean_Silicate_umolL,1.075
19,range_Silicate_umolL,0.5900000000000001
19,cv_Silicate_umolL,0.24358360531463985
19,min_pH,8.037345536
19,max_pH,8.093951503
19,mean_pH,8.0527832675
19,range_pH,0.056605966999999424
19,cv_pH,0.0034134376023475773
2,min_Ammonia_umolL,0.26
2,max_Ammonia_umolL,2.4
2,mean_Ammonia_umolL,0.9199999999999999
2,range_Ammonia_umolL,2.1399999999999997
2,cv_Ammonia_umolL,1.0945747520561078
2,min_NN_umolL,0.57
2,max_NN_umolL,1.05
2,mean_NN_umolL,0.7125
2,range_NN_umolL,0.4800000000000001
2,cv_NN_umolL,0.31724162541680523
2,min_Phosphate_umolL,0.2
2,max_Phosphate_umolL,0.26
2,mean_Phosphate_umolL,0.2175
2,range_Phosphate_umolL,0.06
2,cv_Phosphate_umolL,0.13205891141466733
2,min_Salinity,36.56
2,max_Salinity,36.98
2,mean_Salinity,36.8025
2,range_Salinity,0.4199999999999946
2,cv_Salinity,0.004780919868156714
2,min_Silicate_umolL,0.92
2,max_Silicate_umolL,5.76
2,mean_Silicate_umolL,2.5075
2,range_Silicate_umolL,4.84
2,cv_Silicate_umolL,0.8852324337902289
2,min_pH,8.017815102
2,max_pH,8.058910923
2,mean_pH,8.03626371675
2,range_pH,0.04109582099999898
2,cv_pH,0.0025509173428683463
20,min_Ammonia_umolL,0.22
20,max_Ammonia_umolL,0.43
20,mean_Ammonia_umolL,0.28500000000000003
20,range_Ammonia_umolL,0.21
20,cv_Ammonia_umolL,0.3443843710955662
20,min_NN_umolL,0.32
20,max_NN_umolL,0.61
20,mean_NN_umolL,0.4425
20,range_NN_umolL,0.29
20,cv_NN_umolL,0.28368858843917966
20,min_Phosphate_umolL,0.19
20,max_Phosphate_umolL,0.27
20,mean_Phosphate_umolL,0.21250000000000002
20,range_Phosphate_umolL,0.08000000000000002
20,cv_Phosphate_umolL,0.18175106237265048
20,min_Salinity,36.83
20,max_Salinity,36.96
